report_start,report_end,exchange,bps_bucket,kpi,imc_liquidity_usd,market_liquidity_usd,kpi_ratio_imc_over_obligation,kpi_percent_of_obligation,kpi_outperform,pct_of_market_liqudity,exchange_uptime_pct,avg_bid_ask_spread_bps,trading_volume_ms,source_file
14/4/2025,14/5/2025,Bybit,200,272100,314500,611800,1.155825064,115.5825064,TRUE,51.40568813,99.88,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,15,27200,29600,147000,1.088235294,108.8235294,TRUE,20.13605442,98.94,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,25,68000,75200,251300,1.105882353,110.5882353,TRUE,29.92439316,98.94,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,50,102000,113600,418000,1.11372549,111.372549,TRUE,27.17703349,98.94,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,100,136100,153200,574400,1.12564291,112.564291,TRUE,26.67130919,98.94,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,200,272100,306400,812000,1.126056597,112.6056597,TRUE,37.73399015,98.94,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/5/2025,1/6/2025,Binance,15,45600,49600,309600,1.087719298,108.7719298,TRUE,16.02067183,99.87,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Binance,25,114100,127600,535100,1.118317266,111.8317266,TRUE,23.84601009,99.87,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Binance,50,152100,171500,753100,1.127547666,112.7547666,TRUE,22.77254017,99.87,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Binance,100,228200,260200,943000,1.14022787,114.022787,TRUE,27.59278897,99.87,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Binance,200,380400,433600,1116400,1.139852787,113.9852787,TRUE,38.83912576,99.87,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,15,30400,33100,95800,1.088815789,108.8815789,TRUE,34.55114823,99.72,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,25,76100,85000,198800,1.11695138,111.695138,TRUE,42.75653924,99.72,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,50,114100,128600,322300,1.127081507,112.7081507,TRUE,39.90071362,99.72,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,100,152200,172700,461500,1.134691196,113.4691196,TRUE,37.42145179,99.72,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,200,304400,345900,690100,1.136333771,113.6333771,TRUE,50.12317055,99.72,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,15,30400,33200,156300,1.092105263,109.2105263,TRUE,21.24120282,100,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,25,76100,85100,293200,1.11826544,111.826544,TRUE,29.02455662,100,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,50,114100,128500,508100,1.126205083,112.6205083,TRUE,25.29029719,100,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,100,152200,173700,683200,1.141261498,114.1261498,TRUE,25.42447307,100,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
